time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss
62,893.93,11737,121.07650592000002,733184,358,0.0003,1.228896564245224,0.005435137,0.2,0.6610417366027832,-0.9307249866425991,0.0458984375,-0.005610633277683519,3570,0.5305221676826477
62,894.05,11768,121.06690901,735232,359,0.0003,1.2220634624361992,0.006373369,0.2,0.6178751885890961,-0.9583352826535702,0.046484375,-0.005856412800494581,3580,0.6550813913345337
62,894.2,11800,121.18909788,737280,360,0.0003,1.3608677126467228,0.0064740274,0.2,0.630965530872345,-0.9495088532567024,0.06123046875,-0.006852015288313851,3590,0.5708492398262024
62,894.13,11832,121.19126284000002,739328,361,0.0003,1.2559434674680232,0.004763731,0.2,0.6659720540046692,-0.8978974498808384,0.04111328125,-0.004430717648938298,3600,0.4403688907623291
62,894.15,11864,121.16397142000001,741376,362,0.0003,1.1342262603342532,0.0054395576,0.2,0.6823912858963013,-0.9422064907848835,0.03720703125,-0.003942264523357153,3610,0.5480026006698608
62,893.96,11896,121.21191633999999,743424,363,0.0003,1.4061749801039696,0.005926585,0.2,0.560108095407486,-0.9265063382685185,0.036279296875,-0.006954335467889905,3620,0.46913978457450867
62,894.11,11929,121.22910168,745472,364,0.0003,1.365615962445736,0.006081706,0.2,0.6738515794277191,-0.8994407750666141,0.046240234375,-0.00458549804170616,3630,0.55500727891922
62,893.94,11979,121.12360167000001,747520,365,0.0003,1.147838319838047,0.006124126,0.2,0.6900815069675446,-0.8927589155733585,0.048876953125,-0.0051915069459937515,3640,0.470520555973053
62,893.78,12025,121.15165473,749568,366,0.0003,1.1866141177713871,0.0073527684,0.2,0.6791048049926758,-0.918592669814825,0.053955078125,-0.0070999029092490675,3650,0.5847460627555847
62,893.81,12067,121.23833969000002,751616,367,0.0003,1.5867599681019784,0.0036656288,0.2,0.6033094227313995,-0.9059695787727833,0.027978515625,-0.003266773367067799,3660,0.7757827639579773
62,893.71,12104,121.22122085999999,753664,368,0.0003,1.180874413251877,0.006860951,0.2,0.6588465571403503,-0.8856524042785168,0.06630859375,-0.0053322960331570355,3670,0.35658082365989685
62,893.7,12134,121.24412991000001,755712,369,0.0003,1.20921338647604,0.006287888,0.2,0.6027385890483856,-0.920963067561388,0.062353515625,-0.0069799322576727715,3680,0.3911025822162628
62,893.93,12165,121.31785622000001,757760,370,0.0003,1.2017385311424733,0.00809855,0.2,0.6994868516921997,-0.9095247216522694,0.058935546875,-0.005523132794769481,3690,0.601371169090271
62,894.01,12195,121.33579504000001,759808,371,0.0003,1.1715329445898532,0.0062988577,0.2,0.6785391867160797,-0.9012710832059383,0.047412109375,-0.004384025541367009,3700,0.7425424456596375
62,894.2,12226,121.28218395000003,761856,372,0.0003,1.1635055720806122,0.0061303456,0.2,0.5993101894855499,-0.8684250168502331,0.072216796875,-0.006982466724002734,3710,0.5772500038146973
62,894.48,12258,121.37471117,763904,373,0.0003,1.2866180934011937,0.0064363778,0.2,0.5400583744049072,-0.8539280079305172,0.0404296875,-0.0051661232428159565,3720,0.41889429092407227
62,894.58,12291,121.41072141999999,765952,374,0.0003,1.3541690520942211,0.0068136686,0.2,0.73759326338768,-0.8275764748454094,0.050244140625,-0.004610626091016456,3730,0.7622794508934021
62,894.27,12322,121.35995169,768000,375,0.0003,1.4917628742754458,0.0044955667,0.2,0.645275354385376,-0.811701899766922,0.032470703125,-0.0031066010822542013,3740,0.5907642841339111
62,894.33,12355,121.47166005,770048,376,0.0003,1.2513788014650344,0.0068830317,0.2,0.6292609572410583,-0.8278479881584644,0.042578125,-0.0052527451538480815,3750,0.4694919288158417
62,894.5,12389,121.48379841,772096,377,0.0003,1.6297420844435693,0.004330267,0.2,0.7153023183345795,-0.844051655381918,0.031494140625,-0.003768967330688611,3760,1.0526912212371826
62,894.74,12421,121.60930582,774144,378,0.0003,1.015613004565239,0.005418378,0.2,0.7240589261054993,-0.8431984096765518,0.05390625,-0.004198748152703047,3770,0.3317374587059021
62,894.88,12453,121.68095680999998,776192,379,0.0003,1.1407882146537305,0.0090656895,0.2,0.5448979437351227,-0.8510662585496902,0.073876953125,-0.007606634375406429,3780,0.46559008955955505
62,894.71,12486,121.58962380000001,778240,380,0.0003,1.146281322836876,0.013047698,0.2,0.6429661214351654,-0.8709653452038765,0.06533203125,-0.005608464893884957,3790,0.7646786570549011
62,894.47,12518,121.58104415000001,780288,381,0.0003,1.2298788242042065,0.005126456,0.2,0.6837868988513947,-0.8589394241571426,0.0384765625,-0.003851889676298015,3800,0.42614325881004333
62,894.44,12550,121.64484916,782336,382,0.0003,1.639935427904129,0.007471073,0.2,0.5900267958641052,-0.8595374383032321,0.05615234375,-0.0061900999047793445,3810,0.8319675326347351
62,894.83,12582,121.80693310000002,784384,383,0.0003,0.9850343145430088,0.008330011,0.2,0.6964448094367981,-0.8966899953782559,0.066650390625,-0.007745058578439057,3820,0.4228614866733551
62,894.94,12613,121.94867424,786432,384,0.0003,1.3142907314002514,0.0040232055,0.2,0.7300248444080353,-0.9012336991727352,0.035107421875,-0.003717848123051226,3830,0.48241838812828064
62,895.19,12647,121.96964015000002,788480,385,0.0003,1.2224151238799095,0.0038847518,0.2,0.6333507597446442,-0.8940808683633804,0.047998046875,-0.005586685292655602,3840,0.48106202483177185
62,895.31,12678,122.01682694000003,790528,386,0.0003,1.1659026436507702,0.00673402,0.2,0.6545973420143127,-0.853555365651846,0.061181640625,-0.006964136811438948,3850,0.4339432716369629
62,895.39,12709,121.97012608000001,792576,387,0.0003,1.0823693990707397,0.0076331734,0.2,0.6517523527145386,-0.8660285234451294,0.0724609375,-0.0061598020081873985,3860,0.5609592795372009
